

T20 Train72 AimedDepartureTime=7156 WaitTime=0 BaseTime=7156 RunTime=30	OptSolTime=7156
T21 Train72 AimedDepartureTime=7186 WaitTime=0 BaseTime=7186 RunTime=150	OptSolTime=7186
T22 Train72 AimedDepartureTime=7366 WaitTime=30 BaseTime=7366 RunTime=90	OptSolTime=7366
T23 Train72 AimedDepartureTime=7486 WaitTime=30 BaseTime=7486 RunTime=90	OptSolTime=7486
T24 Train72 AimedDepartureTime=7606 WaitTime=30 BaseTime=7606 RunTime=110	OptSolTime=7606
T25 Train72 AimedDepartureTime=7716 WaitTime=0 BaseTime=7716 RunTime=250	OptSolTime=7716

TrainId=73 Delay=0 FreeRun=8961 	Final Delay=0
T1 Train73 AimedDepartureTime=7696 WaitTime=0 BaseTime=7696 RunTime=280	OptSolTime=7696
T2 Train73 AimedDepartureTime=7976 WaitTime=0 BaseTime=7976 RunTime=252	OptSolTime=7976
T3 Train73 AimedDepartureTime=8228 WaitTime=0 BaseTime=8228 RunTime=458	OptSolTime=8228
T4 Train73 AimedDepartureTime=8686 WaitTime=0 BaseTime=8686 RunTime=275	OptSolTime=8686
T5 Train73 AimedDepartureTime=8961 WaitTime=0 BaseTime=8961 RunTime=385	OptSolTime=8961

TrainId=74 Delay=0 FreeRun=14646 	Final Delay=0
T25 Train74 AimedDepartureTime=9826 WaitTime=60 BaseTime=9826 RunTime=240	OptSolTime=9826
T24 Train74 AimedDepartureTime=10066 WaitTime=0 BaseTime=10066 RunTime=180	OptSolTime=10066
T23 Train74 AimedDepartureTime=10276 WaitTime=30 BaseTime=10276 RunTime=150	OptSolTime=10276
T22 Train74 AimedDepartureTime=10456 WaitTime=30 BaseTime=10456 RunTime=150	OptSolTime=10456
T21 Train74 AimedDepartureTime=10636 WaitTime=30 BaseTime=10636 RunTime=150	OptSolTime=10636
T20 Train74 AimedDepartureTime=10786 WaitTime=0 BaseTime=10786 RunTime=45	OptSolTime=10786
T19 Train74 AimedDepartureTime=10831 WaitTime=0 BaseTime=10831 RunTime=195	OptSolTime=10831
T18 Train74 AimedDepartureTime=11086 WaitTime=60 BaseTime=11086 RunTime=300	OptSolTime=11086
T17 Train74 AimedDepartureTime=11416 WaitTime=30 BaseTime=11416 RunTime=210	OptSolTime=11416
T16 Train74 AimedDepartureTime=11656 WaitTime=30 BaseTime=11656 RunTime=210	OptSolTime=11656
T15 Train74 AimedDepartureTime=11896 WaitTime=30 BaseTime=11896 RunTime=150	OptSolTime=11896
T14 Train74 AimedDepartureTime=12076 WaitTime=30 BaseTime=12076 RunTime=201	OptSolTime=12076
T13 Train74 AimedDepartureTime=12277 WaitTime=0 BaseTime=12277 RunTime=83	OptSolTime=12277
T12 Train74 AimedDepartureTime=12360 WaitTime=0 BaseTime=12360 RunTime=166	OptSolTime=12360
T11 Train74 AimedDepartureTime=12566 WaitTime=40 BaseTime=12566 RunTime=700	OptSolTime=12566
T10 Train74 AimedDepartureTime=13446 WaitTime=180 BaseTime=13446 RunTime=420	OptSolTime=13446
T9 Train74 AimedDepartureTime=13866 WaitTime=0 BaseTime=13866 RunTime=240	OptSolTime=13866
T8 Train74 AimedDepartureTime=14136 WaitTime=30 BaseTime=14136 RunTime=330	OptSolTime=14136
T7 Train74 AimedDepartureTime=14466 WaitTime=0 BaseTime=14466 RunTime=180	OptSolTime=14466
T6 Train74 AimedDepartureTime=14646 WaitTime=0 BaseTime=14646 RunTime=420	OptSolTime=14646

TrainId=75 Delay=0 FreeRun=11356 	Final Delay=15
T6 Train75 AimedDepartureTime=7666 WaitTime=0 BaseTime=7666 RunTime=300	OptSolTime=7666
T7 Train75 AimedDepartureTime=7966 WaitTime=0 BaseTime=7966 RunTime=180	OptSolTime=7966
T8 Train75 AimedDepartureTime=8146 WaitTime=0 BaseTime=8146 RunTime=270	OptSolTime=8146
T9 Train75 AimedDepartureTime=8446 WaitTime=30 BaseTime=8446 RunTime=240	OptSolTime=8446
T10 Train75 AimedDepartureTime=8686 WaitTime=0 BaseTime=8686 RunTime=240	OptSolTime=8686
T11 Train75 AimedDepartureTime=8926 WaitTime=0 BaseTime=8926 RunTime=320	OptSolTime=8926
T12 Train75 AimedDepartureTime=9286 WaitTime=40 BaseTime=9286 RunTime=107	OptSolTime=9286
T13 Train75 AimedDepartureTime=9393 WaitTime=0 BaseTime=9393 RunTime=72	OptSolTime=9393
T14 Train75 AimedDepartureTime=9465 WaitTime=0 BaseTime=9465 RunTime=211	OptSolTime=9465
T15 Train75 AimedDepartureTime=9706 WaitTime=30 BaseTime=9706 RunTime=150	OptSolTime=9706
T16 Train75 AimedDepartureTime=9886 WaitTime=30 BaseTime=9886 RunTime=90	OptSolTime=9886
T17 Train75 AimedDepartureTime=10006 WaitTime=30 BaseTime=10006 RunTime=150	OptSolTime=10006
T18 Train75 AimedDepartureTime=10186 WaitTime=30 BaseTime=10186 RunTime=300	OptSolTime=10186
T19 Train75 AimedDepartureTime=10726 WaitTime=240 BaseTime=10726 RunTime=90	OptSolTime=10726
T20 Train75 AimedDepartureTime=10816 WaitTime=0 BaseTime=10816 RunTime=30	OptSolTime=10831
T21 Train75 AimedDepartureTime=10846 WaitTime=0 BaseTime=10846 RunTime=150	OptSolTime=10861
T22 Train75 AimedDepartureTime=11026 WaitTime=30 BaseTime=11026 RunTime=90	OptSolTime=11041
T23 Train75 AimedDepartureTime=11146 WaitTime=30 BaseTime=11146 RunTime=90	OptSolTime=11161
T24 Train75 AimedDepartureTime=11266 WaitTime=30 BaseTime=11266 RunTime=90	OptSolTime=11281
T25 Train75 AimedDepartureTime=11356 WaitTime=0 BaseTime=11356 RunTime=210	OptSolTime=11371

TrainId=76 Delay=0 FreeRun=18186 	Final Delay=0
