

T11 Train18 AimedDepartureTime=2206 WaitTime=0 BaseTime=2206 RunTime=73	OptSolTime=2206
T12 Train18 AimedDepartureTime=2279 WaitTime=0 BaseTime=2279 RunTime=107	OptSolTime=2279
T13 Train18 AimedDepartureTime=2386 WaitTime=0 BaseTime=2386 RunTime=270	OptSolTime=2386
T14 Train18 AimedDepartureTime=2686 WaitTime=30 BaseTime=2686 RunTime=160	OptSolTime=2686
T15 Train18 AimedDepartureTime=2866 WaitTime=20 BaseTime=2866 RunTime=100	OptSolTime=2866
T16 Train18 AimedDepartureTime=2986 WaitTime=20 BaseTime=2986 RunTime=60	OptSolTime=2986
T17 Train18 AimedDepartureTime=3046 WaitTime=0 BaseTime=3046 RunTime=240	OptSolTime=3046
T18 Train18 AimedDepartureTime=3286 WaitTime=0 BaseTime=3286 RunTime=180	OptSolTime=3286
T19 Train18 AimedDepartureTime=3466 WaitTime=0 BaseTime=3466 RunTime=180	OptSolTime=3466
T20 Train18 AimedDepartureTime=3646 WaitTime=0 BaseTime=3646 RunTime=30	OptSolTime=3646
T21 Train18 AimedDepartureTime=3706 WaitTime=30 BaseTime=3706 RunTime=180	OptSolTime=3706
T22 Train18 AimedDepartureTime=3886 WaitTime=0 BaseTime=3886 RunTime=210	OptSolTime=3886
T23 Train18 AimedDepartureTime=4126 WaitTime=30 BaseTime=4126 RunTime=270	OptSolTime=4126
T24 Train18 AimedDepartureTime=4426 WaitTime=30 BaseTime=4426 RunTime=170	OptSolTime=4426
T25 Train18 AimedDepartureTime=4606 WaitTime=10 BaseTime=4606 RunTime=390	OptSolTime=4606
T26 Train18 AimedDepartureTime=5026 WaitTime=30 BaseTime=5026 RunTime=120	OptSolTime=5026
T27 Train18 AimedDepartureTime=5146 WaitTime=0 BaseTime=5146 RunTime=120	OptSolTime=5146
T28 Train18 AimedDepartureTime=5386 WaitTime=120 BaseTime=5386 RunTime=410	OptSolTime=5386
T29 Train18 AimedDepartureTime=5806 WaitTime=10 BaseTime=5806 RunTime=990	OptSolTime=5806
T30 Train18 AimedDepartureTime=6826 WaitTime=30 BaseTime=6826 RunTime=290	OptSolTime=6826
T31 Train18 AimedDepartureTime=7126 WaitTime=10 BaseTime=7126 RunTime=270	OptSolTime=7126
T32 Train18 AimedDepartureTime=7426 WaitTime=30 BaseTime=7426 RunTime=350	OptSolTime=7426
T33 Train18 AimedDepartureTime=7776 WaitTime=0 BaseTime=7776 RunTime=250	OptSolTime=7776

TrainId=19 Delay=0 FreeRun=5506 	Final Delay=0
T8 Train19 AimedDepartureTime=2506 WaitTime=0 BaseTime=2506 RunTime=112	OptSolTime=2506
T9 Train19 AimedDepartureTime=2618 WaitTime=0 BaseTime=2618 RunTime=128	OptSolTime=2618
T10 Train19 AimedDepartureTime=2746 WaitTime=0 BaseTime=2746 RunTime=300	OptSolTime=2746
T11 Train19 AimedDepartureTime=3046 WaitTime=0 BaseTime=3046 RunTime=152	OptSolTime=3046
T12 Train19 AimedDepartureTime=3198 WaitTime=0 BaseTime=3198 RunTime=148	OptSolTime=3198
T13 Train19 AimedDepartureTime=3346 WaitTime=0 BaseTime=3346 RunTime=300	OptSolTime=3346
T14 Train19 AimedDepartureTime=3646 WaitTime=0 BaseTime=3646 RunTime=240	OptSolTime=3646
